,model_name,dim1_rm,dim2_sent_len,dim3_sent_num,dim4_pattern,dim5_SDPs,dim6_keywords,overall_accuracy,overall_precision,overall_f1_score
0,True-False-False-False-True-False,True,False,False,False,True,False,0.6845454545454546,0.7108610036219761,0.7495124021872561
1,True-False-False-False-False-True,True,False,False,False,False,True,0.7036363636363643,0.7579574647697064,0.7842810954960581
2,True-False-False-False-False-False,True,False,False,False,False,False,0.7557737770503734,0.7957506564022602,0.8324295821685652
3,True-False-False-statement-True-False,True,False,False,statement,True,False,0.7434885556432521,0.9032360029176588,0.7974547672436441
4,True-False-False-statement-False-False,True,False,False,statement,False,False,0.7157142857142855,0.7820211940850162,0.8056520495052154
5,True-False-False-question-True-False,True,False,False,question,True,False,0.5728571428571428,0.6593382071309866,
6,True-False-False-question-False-True,True,False,False,question,False,True,0.6117142857142861,0.7029060941857025,
7,True-False-False-question-False-False,True,False,False,question,False,False,0.6545660805445269,0.7411377851935129,
8,True-False-15-False-False-True,True,False,15,False,False,True,0.6145714285714285,0.700946497437156,0.7098159152317169
9,True-False-15-False-False-False,True,False,15,False,False,False,0.6399999999999999,0.7161283820349724,0.7344784414624872
10,True-False-15-statement-True-False,True,False,15,statement,True,False,0.4854285714285713,0.5921922576530739,
11,True-False-15-statement-False-True,True,False,15,statement,False,True,0.5456608054452635,0.6662280308182345,
12,True-False-15-question-True-False,True,False,15,question,True,False,0.3822857142857142,0.4860739629419987,
13,True-False-15-question-False-True,True,False,15,question,False,True,0.4499999999999997,0.5800623653366495,
14,True-False-15-question-False-False,True,False,15,question,False,False,0.4851428571428573,0.6197713259301771,
15,True-False-50-False-True-False,True,False,50,False,True,False,0.64322178105502,0.6670917865495437,
16,True-False-50-False-False-False,True,False,50,False,False,False,0.7117142857142859,0.7667187770578457,0.7971377825132329
17,True-False-50-statement-True-False,True,False,50,statement,True,False,0.5728571428571427,0.6589925360206568,
18,True-False-50-statement-False-True,True,False,50,statement,False,True,0.6385714285714289,0.714529216154863,
19,True-False-50-statement-False-False,True,False,50,statement,False,False,0.6534316505955755,0.7385702192855659,
20,True-False-50-question-False-True,True,False,50,question,False,True,0.5640000000000003,0.6668991319514694,
21,True-False-50-question-False-False,True,False,50,question,False,False,0.5802857142857144,0.6947703976302643,
22,True-5-False-False-False-False,True,5,False,False,False,False,0.7097142857142857,0.7437886807378973,0.7808519356738166
23,True-5-False-statement-False-False,True,5,False,statement,False,False,0.6653431650595582,0.7098962785005779,0.7341501038555861
24,True-5-15-False-False-False,True,5,15,False,False,False,0.5862857142857142,0.6455842116690217,
25,True-5-15-statement-False-False,True,5,15,statement,False,False,0.5122857142857143,0.6099220146615038,
26,True-5-15-question-False-False,True,5,15,question,False,False,0.3697142857142858,0.4896721987110669,
27,True-5-50-False-False-False,True,5,50,False,False,False,0.6965399886557003,0.7377441990737859,0.7659775221123607
28,True-5-50-question-False-False,True,5,50,question,False,False,0.5488571428571428,0.6468648511065664,
29,True-15-False-False-False-False,True,15,False,False,False,False,0.7634285714285721,0.7968215554834686,0.8310241792445644
30,True-15-False-statement-False-False,True,15,False,statement,False,False,0.7168571428571431,0.7773814818393275,0.7996420269216084
31,True-15-False-question-False-False,True,15,False,question,False,False,0.6744186046511632,0.7482890268111192,
32,True-15-15-question-False-False,True,15,15,question,False,False,0.5073969153289266,0.6324490533750787,
33,True-15-50-False-False-False,True,15,50,False,False,False,0.5676320272572404,0.6709934402590434,
34,True-15-50-statement-False-False,True,15,50,statement,False,False,0.550577528876444,0.6293601231965099,0.6274153830190868
35,True-15-50-question-False-False,True,15,50,question,False,False,0.5684931506849313,0.6594569267303809,0.6583266788364549
36,False-False-False-False-True-False,False,False,False,False,True,False,0.5749219562955254,0.6541750337903679,
37,False-False-False-False-False-False,False,False,False,False,False,False,0.39550561797752815,0.5142774777496313,
38,False-False-False-statement-True-False,False,False,False,statement,True,False,0.4349442379182156,0.5514650294671398,
39,False-False-False-statement-False-True,False,False,False,statement,False,True,0.5229142185663923,0.6154715303951258,0.5941462354088768
40,False-False-50-question-False-True,False,False,50,question,False,True,0.6076421248835037,0.7006092039144766,0.7015871538415055
41,False-False-50-question-False-False,False,False,50,question,False,False,0.5296517100721677,0.6425023935407211,0.6279429396306516
42,False-5-False-False-False-False,False,5,False,False,False,False,0.7149274360746372,0.7378928757253119,0.7735325927678806
43,False-5-False-statement-False-False,False,5,False,statement,False,False,0.5492730210016156,0.6200477098474537,
44,False-5-False-question-False-False,False,5,False,question,False,False,0.6058441558441547,0.657983473776023,
45,False-5-15-statement-False-False,False,5,15,statement,False,False,0.5541168658698535,0.6404601773215707,0.6256205019160652
46,False-5-15-question-False-False,False,5,15,question,False,False,0.4946643717728055,0.6072977156099377,0.5714035490967878
47,False-5-50-False-False-False,False,5,50,False,False,False,0.6304102371095224,0.6939115258619835,0.7027384165058945
48,False-5-50-statement-False-False,False,5,50,statement,False,False,0.6319776714513557,0.7031104436869987,0.7123110308126813
49,False-False-False-question-True-False,False,False,False,question,True,False,0.4887433483422016,0.6197054711369901,
50,False-False-False-question-False-True,False,False,False,question,False,True,0.5682270916334657,0.665786864716411,
51,False-False-False-question-False-False,False,False,False,question,False,False,0.5678137651821865,0.6794697231940217,0.6485685556239292
52,False-False-15-False-False-True,False,False,15,False,False,True,0.5987675453611775,0.660946241289625,0.6739867540148258
53,False-False-15-False-False-False,False,False,15,False,False,False,0.5865880619012517,0.6648704629177412,0.6658549981709097
54,False-False-15-statement-True-False,False,False,15,statement,True,False,0.5262896825396817,0.601162138080441,
55,False-False-15-statement-False-True,False,False,15,statement,False,True,0.5828373015873006,0.6666285540947747,
56,False-False-15-statement-False-False,False,False,15,statement,False,False,0.6091269841269831,0.6992551183014301,0.6929292628157097
57,False-False-15-question-True-False,False,False,15,question,True,False,0.4025337147527583,0.5319130092683703,
58,False-False-15-question-False-True,False,False,15,question,False,True,0.4538761368557814,0.5540803366104842,
59,False-False-15-question-False-False,False,False,15,question,False,False,0.5131086142322094,0.6070353550794332,
60,False-False-50-False-True-False,False,False,50,False,True,False,0.4584584584584586,0.5579083194271452,
61,False-False-50-False-False-True,False,False,50,False,False,True,0.4986357435197815,0.6006626521201694,
62,False-False-50-False-False-False,False,False,50,False,False,False,0.4999999999999998,0.6091554134395462,
63,False-False-50-statement-True-False,False,False,50,statement,True,False,0.4822161422708618,0.5828425094327847,
64,False-False-50-statement-False-False,False,False,50,statement,False,False,0.6765478424015009,0.7159127670177194,0.7370603018199526
65,False-False-50-question-True-False,False,False,50,question,True,False,0.5589270008795075,0.6484066565997875,
66,False-5-50-question-False-False,False,5,50,question,False,False,0.4596434359805508,0.535936995544107,
67,False-15-False-False-False-False,False,15,False,False,False,False,0.4872269529803777,0.5865404674041211,
68,False-15-False-statement-False-False,False,15,False,statement,False,False,0.5851158645276291,0.633051605163732,0.6498861743476021
69,False-15-False-question-False-False,False,15,False,question,False,False,0.5484934086628998,0.6091551732288074,
70,False-15-15-False-False-False,False,15,15,False,False,False,0.5797317436661701,0.6269476068020959,
71,False-15-15-question-False-False,False,15,15,question,False,False,0.4967114669716901,0.6306221949941812,
72,False-15-50-False-False-False,False,15,50,False,False,False,0.7310443490700997,0.7822213577882299,0.822792771556409
73,False-15-50-statement-False-False,False,15,50,statement,False,False,0.6751574127074985,0.7468998656526679,0.7656082044490596
74,False-15-50-question-False-False,False,15,50,question,False,False,0.5723472668810294,0.7420489296636085,
75,True-False-False-statement-False-True,True,False,False,statement,False,True,0.6525350902320253,0.7272011266802216,0.7356792690603002
76,True-False-15-False-True-False,True,False,15,False,True,False,0.5317177476835352,0.6222185746116582,
77,True-False-15-statement-False-False,True,False,15,statement,False,False,0.578285714285714,0.7018519648224844,
78,True-False-50-False-False-True,True,False,50,False,False,True,0.4689852993904626,0.5908245347754845,
79,True-False-50-question-True-False,True,False,50,question,True,False,0.4879885263535318,0.5733879358660074,
80,True-5-False-question-False-False,True,5,False,question,False,False,0.556113302258874,0.6285572461125023,
81,True-5-50-statement-False-False,True,5,50,statement,False,False,0.5851559698816778,0.6621772848330334,0.6675532691406274
82,True-15-15-False-False-False,True,15,15,False,False,False,0.5699588477366255,0.6706285022611552,
83,True-15-15-statement-False-False,True,15,15,statement,False,False,0.5617495711835335,0.6859108440420639,
84,False-False-False-False-False-True,False,False,False,False,False,True,0.7062356979405033,0.7572124690623313,0.7860545046746749
85,False-False-False-statement-False-False,False,False,False,statement,False,False,0.7125286041189934,0.7730371996206644,0.7993866992484195
86,False-False-15-False-True-False,False,False,15,False,True,False,0.6184210526315785,0.7189814814814814,
87,False-False-50-statement-False-True,False,False,50,statement,False,True,0.6179999999999999,0.7006357170996504,
88,False-5-15-False-False-False,False,5,15,False,False,False,0.5740846681922198,0.6265069147419708,0.6432876983886483
89,False-15-15-statement-False-False,False,15,15,statement,False,False,0.5899856938483548,0.690592695871356,
